Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides KUR1502	Razor + unique peptides KUR1502	Unique peptides KUR1502	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity corrected 0 KUR1502	Reporter intensity corrected 1 KUR1502	Reporter intensity corrected 2 KUR1502	Reporter intensity corrected 3 KUR1502	Reporter intensity corrected 4 KUR1502	Reporter intensity corrected 5 KUR1502	Reporter intensity corrected 6 KUR1502	Reporter intensity corrected 7 KUR1502	Reporter intensity corrected 8 KUR1502	Reporter intensity corrected 9 KUR1502	Reporter intensity 0 KUR1502	Reporter intensity 1 KUR1502	Reporter intensity 2 KUR1502	Reporter intensity 3 KUR1502	Reporter intensity 4 KUR1502	Reporter intensity 5 KUR1502	Reporter intensity 6 KUR1502	Reporter intensity 7 KUR1502	Reporter intensity 8 KUR1502	Reporter intensity 9 KUR1502	Reporter intensity count 0 KUR1502	Reporter intensity count 1 KUR1502	Reporter intensity count 2 KUR1502	Reporter intensity count 3 KUR1502	Reporter intensity count 4 KUR1502	Reporter intensity count 5 KUR1502	Reporter intensity count 6 KUR1502	Reporter intensity count 7 KUR1502	Reporter intensity count 8 KUR1502	Reporter intensity count 9 KUR1502	Sequence coverage KUR1502 [%]	Intensity	Intensity KUR1502	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P51863	P51863	8	8	8	V-type proton ATPase subunit d 1	Atp6v0d1		1	8	8	8	8	8	8	26.8	26.8	26.8	40.301	351	351	0	53.653	28250	400.36	25890	55.772	18564	32707	34422	9.9786	36491	30715	26723	375.92	26145	223.21	19498	30967	34334	1134.6	35918	28910	14	4	14	1	14	14	14	1	14	14	28250	400.36	25890	55.772	18564	32707	34422	9.9786	36491	30715	26723	375.92	26145	223.21	19498	30967	34334	1134.6	35918	28910	14	4	14	1	14	14	14	1	14	14	26.8	881480000	881480000	14				1113	3135;17095;17583;17584;19480;21075;21808;24939	True;True;True;True;True;True;True;True	3246;18162;18673;18674;20685;22460;23272;26600	4801;26239;26240;26961;26962;29780;29781;29782;32304;32305;33476;33477;38085	5211;28217;28218;28986;28987;31945;31946;31947;34583;34584;34585;35837;35838;40821	5211;28217;28986;28987;31945;34584;35837;40821		
P51881;Q3V132	P51881	17;3	9;0	8;0	ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed	Slc25a5		2	17	9	8	16	8	8	55.4	25.2	22.1	32.931	298	298;320	0	143.4	200180	5566.3	110920	102.59	86977	246610	96178	864	109420	168670	189080	5222.4	116540	2737.5	89821	233330	97813	12044	107400	158780	31	12	31	2	31	31	30	6	31	31	200180	5566.3	110920	102.59	86977	246610	96178	864	109420	168670	189080	5222.4	116540	2737.5	89821	233330	97813	12044	107400	158780	31	12	31	2	31	31	30	6	31	31	52.3	10815000000	10815000000	31				1114	339;4223;7776;10304;11252;11462;11513;11950;15255;15824;17704;22668;22669;26823;32061;32110;32111	True;True;True;False;True;False;False;True;True;False;False;True;True;True;False;False;False	325;4404;8185;10890;11885;12110;12173;12639;12640;16216;16217;16824;18797;24201;24202;34224;34276;34277	444;445;6509;6510;6511;6512;6513;6514;6515;11939;11940;15816;15817;17319;17320;17321;17624;17713;18372;18373;18374;23559;23560;23561;23562;23563;23564;24346;27140;27141;27142;27143;34764;34765;34766;49320;49388;49389;49390;49391;49392	490;491;492;7047;7048;7049;7050;7051;7052;7053;7054;12863;12864;12865;17048;17049;18678;18679;18680;18681;18682;19003;19095;19096;19806;19807;19808;25376;25377;25378;25379;25380;25381;26221;26222;29173;29174;29175;29176;37234;37235;37236;52817;52818;52886;52887;52888;52889;52890	490;7047;12863;17048;18679;19003;19096;19807;25380;26221;29173;37234;37236;52817;52888;52890	1106;1169	250;282
P51912	P51912	5	5	4	Neutral amino acid transporter B(0)	Slc1a5		1	5	5	4	4	4	4	10.8	10.8	8.9	58.482	553	553	0	31.603	9536.1	0	2262	0	1423.3	11364	1633.2	7.2528	1681.6	6590.4	8996.4	0	2607.2	101.36	1492.3	10755	1653.7	531.65	1648.8	6205.2	4	0	3	0	2	5	4	1	2	4	9536.1	0	2262	0	1423.3	11364	1633.2	7.2528	1681.6	6590.4	8996.4	0	2607.2	101.36	1492.3	10755	1653.7	531.65	1648.8	6205.2	4	0	3	0	2	5	4	1	2	4	8.9	153620000	153620000	5				1115	19619;20243;20979;23701;24607	True;True;True;True;True	21533;22353;25296;26245	30977;32154;32155;36328;37601	33194;34426;34427;38934;40300	33194;34427;38934;40300		
P51949	P51949	3	3	3	CDK-activating kinase assembly factor MAT1	Mnat1		1	3	3	3	3	3	3	12	12	12	35.848	309	309	0	15.103	2891.6	0	1105.2	0	782.53	3178.4	1157.8	0	1251.7	2063.3	2729.5	0	1204.7	41.785	818.56	3006.9	1163.1	107.91	1228.7	1941.2	2	0	1	0	2	2	2	0	1	2	2891.6	0	1105.2	0	782.53	3178.4	1157.8	0	1251.7	2063.3	2729.5	0	1204.7	41.785	818.56	3006.9	1163.1	107.91	1228.7	1941.2	2	0	1	0	2	2	2	0	1	2	12	18563000	18563000	3				1116	6321;7761;30559	True;True;True	6639;8170;32631	9778;11914;46998	10557;12834;50350	10557;12834;50350		
P52019	P52019	3	3	3	Squalene monooxygenase	Sqle		1	3	3	3	3	3	3	6.8	6.8	6.8	63.769	572	572	0	12.922	2237	1332.5	1088.4	0	1547.3	2447.3	1049.2	0	979.53	1967.4	2112.5	1250.7	1157.4	40.402	1536	2312.7	1090	36.924	969.46	1850.8	3	1	2	0	3	3	3	0	3	2	2237	1332.5	1088.4	0	1547.3	2447.3	1049.2	0	979.53	1967.4	2112.5	1250.7	1157.4	40.402	1536	2312.7	1090	36.924	969.46	1850.8	3	1	2	0	3	3	3	0	3	2	6.8	32862000	32862000	3				1117	12165;14798;27850	True;True;True	12867;15732;29705	18692;22885;42654	20145;24653;45728	20145;24653;45728		
P52196	P52196	5	5	5	Thiosulfate sulfurtransferase	Tst		1	5	5	5	5	5	5	20.2	20.2	20.2	33.466	297	297	0	26.736	6563.8	413.37	6072.3	0	4341.4	9678.1	5367.2	3.6919	6498.2	4959.9	6209.2	388.14	6123.5	0	4523.4	9155.2	5445	230.26	6363.8	4667.2	5	3	5	0	5	5	5	1	5	5	6563.8	413.37	6072.3	0	4341.4	9678.1	5367.2	3.6919	6498.2	4959.9	6209.2	388.14	6123.5	0	4523.4	9155.2	5445	230.26	6363.8	4667.2	5	3	5	0	5	5	5	1	5	5	20.2	108070000	108070000	5				1118	2676;15711;29925;31558;32437	True;True;True;True;True	2768;16708;31942;33692;34633	4067;24200;46016;48569;49939	4409;26067;49322;52027;53469	4409;26067;49322;52027;53469		
P52293	P52293	10	10	10	Importin subunit alpha-1	Kpna2		1	10	10	10	10	10	10	24	24	24	57.927	529	529	0	186.12	28232	601.68	8655.6	0	5808.8	40338	9343.2	73.174	9464	17478	26639	564.08	9801.9	155.14	6094.6	38145	9342	1130.9	9333	16448	13	6	13	0	11	15	12	2	13	12	28232	601.68	8655.6	0	5808.8	40338	9343.2	73.174	9464	17478	26639	564.08	9801.9	155.14	6094.6	38145	9342	1130.9	9333	16448	13	6	13	0	11	15	12	2	13	12	24	426920000	426920000	18				1119	1297;2460;6113;9982;11055;12258;17593;21304;21400;21921	True;True;True;True;True;True;True;True;True;True	1316;2552;6419;6420;10548;11681;12967;18683;22716;22832;23399	1912;1913;3763;9484;9485;15316;17027;17028;18851;26977;26978;32687;32688;32689;32860;33655;33656	2089;2090;4094;10238;10239;10240;16513;18372;18373;20323;29003;29004;34987;34988;34989;35179;36024;36025	2089;4094;10240;16513;18372;20323;29003;34987;35179;36024	1170	359
P52332	P52332	16	16	16	Tyrosine-protein kinase JAK1	Jak1		1	16	16	16	16	16	16	18.7	18.7	18.7	133.37	1153	1153	0	75.463	15403	47.333	9221.3	0	6918.2	21252	11393	0	13755	14804	14551	44.444	9620.9	0	7212.8	20118	11439	364.79	13472	13931	13	1	14	0	13	15	13	0	14	13	15403	47.333	9221.3	0	6918.2	21252	11393	0	13755	14804	14551	44.444	9620.9	0	7212.8	20118	11439	364.79	13472	13931	13	1	14	0	13	15	13	0	14	13	18.7	111730000	111730000	17				1120	252;4551;4579;4613;6637;6973;12660;16988;18525;20827;21320;21886;22386;22805;24318;31963	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	242;4754;4783;4818;6970;7326;13403;18049;19682;22193;22732;23361;23897;24343;25942;34122	304;6981;7017;7071;10224;10724;19486;26093;28360;31934;32713;33601;34359;34945;37178;49180	330;7558;7559;7596;7654;11022;11557;21016;28061;30445;34190;35013;35967;36780;37427;39858;52667	330;7558;7596;7654;11022;11557;21016;28061;30445;34190;35013;35967;36780;37427;39858;52667	1171;1172	640;641
P52431	P52431	17	17	17	DNA polymerase delta catalytic subunit	Pold1		1	17	17	17	17	17	17	20.6	20.6	20.6	123.79	1105	1105	0	83.304	17821	205.18	7383.6	0	6618.5	20270	9627.9	3.8829	9314	11462	16824	192.66	7979.1	0	6803	19178	9639.4	382.62	9203.4	10788	16	3	12	0	13	16	13	2	14	12	17821	205.18	7383.6	0	6618.5	20270	9627.9	3.8829	9314	11462	16824	192.66	7979.1	0	6803	19178	9639.4	382.62	9203.4	10788	16	3	12	0	13	16	13	2	14	12	20.6	216620000	216620000	18				1121	710;5072;5613;5860;7422;7944;10989;13463;14124;18129;29558;30184;30456;30870;31218;31827;32908	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	712;5315;5891;6150;7797;8363;11609;14274;14989;19264;31548;32217;32526;32955;33334;33973;35144	1020;7813;8665;9064;11423;12187;16904;20734;21788;27807;45416;46401;46861;47479;48046;48959;50680	1112;8445;9365;9786;12318;13137;18235;22396;23507;29873;48673;49723;50207;50860;51461;52433;54258;54259	1112;8445;9365;9786;12318;13137;18235;22396;23507;29873;48673;49723;50207;50860;51461;52433;54258		
P52432	P52432	5	5	4	DNA-directed RNA polymerases I and III subunit RPAC1	Polr1c		1	5	5	4	4	4	4	17.3	17.3	14.5	39.106	346	346	0	34.234	9653.2	587.04	5225.9	0	3382.3	13332	3557.9	0	4451.9	6139.6	9117.8	551.21	5494.4	0	3544.6	12611	3637.7	273.34	4354.8	5778.8	6	2	6	0	6	6	6	0	6	6	9653.2	587.04	5225.9	0	3382.3	13332	3557.9	0	4451.9	6139.6	9117.8	551.21	5494.4	0	3544.6	12611	3637.7	273.34	4354.8	5778.8	6	2	6	0	6	6	6	0	6	6	14.5	110460000	110460000	6				1122	33;9775;14036;30264;31111	True;True;True;True;True	10328;14893;32302;33216	14981;21650;21651;46514;47882	16138;23364;23365;49843;49844;51286	16138;23364;49844;51286		
P52479	P52479	2	2	2	Ubiquitin carboxyl-terminal hydrolase 10	Usp10		1	2	2	2	2	2	2	4.3	4.3	4.3	87.021	792	792	0.0020143	7.1716	396.81	0	105.75	0	48.033	1033	1731.6	0	1091.7	351.78	374.39	0	122.68	0	53.362	977.02	1664.2	0	1104.3	331.25	1	0	1	0	1	2	2	0	2	2	396.81	0	105.75	0	48.033	1033	1731.6	0	1091.7	351.78	374.39	0	122.68	0	53.362	977.02	1664.2	0	1104.3	331.25	1	0	1	0	1	2	2	0	2	2	4.3	20388000	20388000	2				1123	22140;30591	True;True	23635;32666	33985;47052	36380;50406	36380;50406		
P52480	P52480	35	35	34	Pyruvate kinase PKM	Pkm		1	35	35	34	35	35	34	72.7	72.7	70.6	57.844	531	531	0	323.31	585920	21973	586770	462.76	435360	729450	722820	3700.3	811500	616210	554430	20628	589470	7402.7	454820	690520	724370	37122	796940	580130	199	51	209	10	206	210	215	29	219	206	585920	21973	586770	462.76	435360	729450	722820	3700.3	811500	616210	554430	20628	589470	7402.7	454820	690520	724370	37122	796940	580130	199	51	209	10	206	210	215	29	219	206	72.7	83737000000	83737000000	250				1124	685;686;1049;2114;3224;3231;4002;5893;5894;6099;6100;7034;8726;9055;10133;10134;10413;10479;10991;11819;11820;12191;14681;14682;14997;15219;16012;16271;18008;20268;21747;22075;23782;30379;31060	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	687;688;689;1053;1054;1055;2190;3344;3350;4169;6186;6187;6404;6405;7393;9197;9198;9551;9552;10704;10705;11003;11068;11611;12498;12499;12899;15608;15609;15610;15943;16177;17023;17296;19133;21560;23208;23564;23565;23566;25381;25382;32443;32444;33162	977;978;979;980;981;982;983;984;985;986;987;988;989;990;991;992;1493;1494;1495;1496;1497;1498;1499;1500;1501;1502;1503;1504;3235;4942;4943;4944;4945;4946;4954;4955;4956;4957;4958;4959;4960;4961;4962;4963;4964;6153;6154;6155;6156;6157;6158;6159;6160;6161;6162;6163;6164;6165;9120;9121;9122;9123;9124;9125;9126;9127;9128;9129;9130;9131;9132;9133;9134;9135;9452;9453;9454;9455;9456;9457;9458;9459;9460;9461;9462;9463;9464;9465;9466;9467;9468;10840;10841;13404;13405;13406;13407;13408;13409;13899;13900;13901;13902;15545;15546;15547;15548;15549;15550;15551;15996;15997;15998;15999;16089;16090;16906;16907;16908;18176;18177;18178;18179;18180;18181;18182;18740;18741;18742;18743;22682;22683;22684;22685;22686;22687;22688;22689;22690;22691;22692;22693;22694;22695;23193;23194;23195;23196;23197;23198;23199;23200;23201;23512;24628;24629;25039;25040;25041;27610;27611;31009;33387;33388;33389;33390;33883;33884;33885;33886;33887;36439;36440;36441;36442;36443;36444;36445;36446;36447;36448;36449;36450;36451;36452;36453;36454;46730;46731;46732;46733;46734;46735;46736;47794	1064;1065;1066;1067;1068;1069;1070;1071;1072;1073;1074;1075;1076;1077;1078;1079;1080;1081;1082;1631;1632;1633;1634;1635;1636;1637;1638;1639;1640;1641;1642;1643;1644;3522;5364;5365;5366;5367;5368;5369;5378;5379;5380;5381;5382;5383;5384;5385;5386;5387;5388;5389;5390;5391;5392;6654;6655;6656;6657;6658;6659;6660;6661;6662;6663;6664;6665;6666;6667;6668;6669;6670;6671;6672;6673;9843;9844;9845;9846;9847;9848;9849;9850;9851;9852;9853;9854;9855;9856;9857;9858;9859;9860;9861;9862;10204;10205;10206;10207;10208;10209;10210;10211;10212;10213;10214;10215;10216;10217;10218;10219;10220;10221;11684;11685;11686;14463;14464;14465;14466;14467;14468;14989;14990;14991;14992;14993;14994;14995;16753;16754;16755;16756;16757;16758;16759;16760;17238;17239;17240;17241;17242;17243;17336;17337;17338;17339;18237;18238;18239;18240;18241;18242;19593;19594;19595;19596;19597;19598;19599;19600;19601;19602;20196;20197;20198;20199;24444;24445;24446;24447;24448;24449;24450;24451;24452;24453;24454;24455;24456;24457;24458;24459;24995;24996;24997;24998;24999;25000;25001;25002;25003;25004;25327;26517;26518;26519;26958;26959;26960;26961;26962;29668;29669;33227;33228;35738;35739;35740;35741;35742;35743;35744;35745;36275;36276;36277;36278;36279;36280;39052;39053;39054;39055;39056;39057;39058;39059;39060;39061;39062;39063;39064;39065;39066;39067;39068;39069;39070;39071;39072;50072;50073;50074;50075;50076;50077;50078;50079;51192	1064;1075;1640;3522;5365;5392;6667;9843;9856;10204;10218;11684;14465;14989;16755;16759;17238;17339;18242;19594;19602;20197;24457;24459;24996;25327;26519;26961;29668;33228;35742;36277;39067;50076;51192	1173;1174;1175;1176;1177;1178;1179;1180;1181	22;30;149;239;291;330;334;360;494
P52482;Q91W82;P52483	P52482;Q91W82;P52483	1;1;1	1;1;1	1;1;1	Ubiquitin-conjugating enzyme E2 E1;Ubiquitin-conjugating enzyme E2 E2;Ubiquitin-conjugating enzyme E2 E3	Ube2e1;Ube2e2;Ube2e3	;;	3	1	1	1	1	1	1	9.3	9.3	9.3	21.333	193	193;201;207	0.0097069	4.0693	196.53	0	0	0	0	178.03	106.83	0	191.14	0	185.23	0	0	0	0	168.27	105.92	0	185.02	0	1	0	0	0	0	1	1	0	1	0	196.53	0	0	0	0	178.03	106.83	0	191.14	0	185.23	0	0	0	0	168.27	105.92	0	185.02	0	1	0	0	0	0	1	1	0	1	0	9.3	8701200	8701200	1				1125	14952	True	15894	23119	24918	24918		
P52503	P52503	3	3	3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	Ndufs6		1	3	3	3	3	3	3	44	44	44	13.02	116	116	0	20.34	6541.4	0	3948.8	0	3060.8	7231.2	3371.9	14.579	4188.5	5511.5	6180.1	0	4115	61.303	3163.7	6843.9	3439.8	355.36	4098.2	5189.2	3	0	3	0	3	3	3	1	3	3	6541.4	0	3948.8	0	3060.8	7231.2	3371.9	14.579	4188.5	5511.5	6180.1	0	4115	61.303	3163.7	6843.9	3439.8	355.36	4098.2	5189.2	3	0	3	0	3	3	3	1	3	3	44	107520000	107520000	3				1126	13722;22765;27275	True;True;True	14558;24302;29086	21160;34897;41721	22845;37374;44734	22845;37374;44734		
P52623	P52623	1	1	1	Uridine-cytidine kinase 1	Uck1		1	1	1	1	1	1	1	5.1	5.1	5.1	31.068	277	277	0.001351	7.3433	1072.8	125.57	530.68	0	565.91	1432.4	715.78	0	797.27	665.61	1013.1	117.91	566.25	0	574.4	1355	723.64	63.837	783.21	626.47	1	1	1	0	1	1	1	0	1	1	1072.8	125.57	530.68	0	565.91	1432.4	715.78	0	797.27	665.61	1013.1	117.91	566.25	0	574.4	1355	723.64	63.837	783.21	626.47	1	1	1	0	1	1	1	0	1	1	5.1	6778900	6778900	1				1127	28490	True	30396	43682	46816	46816		
P52624	P52624	11	11	11	Uridine phosphorylase 1	Upp1		1	11	11	11	11	11	11	47.9	47.9	47.9	34.086	311	311	0	94.347	22838	125.65	61805	0	47750	23607	88934	476.93	96330	21971	21755	117.98	59899	0	49852	22359	88752	1321.2	94731	20697	22	1	26	0	24	24	26	4	25	22	22838	125.65	61805	0	47750	23607	88934	476.93	96330	21971	21755	117.98	59899	0	49852	22359	88752	1321.2	94731	20697	22	1	26	0	24	24	26	4	25	22	47.9	1559800000	1559800000	26				1128	3715;4778;6292;9896;16256;16257;18353;19127;20972;32915;32916	True;True;True;True;True;True;True;True;True;True;True	3863;4990;4991;6609;6610;10458;17279;17280;19500;20313;22344;22345;22346;35151;35152	5681;7306;7307;9735;9736;15171;15172;25007;25008;25009;28105;28106;29220;32142;32143;32144;32145;50689;50690;50691;50692;50693	6155;7900;7901;10510;10511;16355;16356;16357;16358;16359;16360;26925;26926;26927;30179;30180;31351;34414;34415;34416;34417;54269;54270;54271;54272;54273	6155;7900;10511;16359;26925;26927;30180;31351;34417;54269;54270	1182;1183;1184;1185	30;50;250;258
P52633	P52633	6	6	6	Signal transducer and transcription activator 6	Stat6		1	6	6	6	6	6	6	10.9	10.9	10.9	93.496	837	837	0	55.391	4890.9	393.08	2677.9	0	3543.1	4978.1	4823.1	0	6206	5674	4619.8	369.09	2835.7	0	3563.9	4714.3	4876.7	118.03	6064.8	5340.4	5	2	5	0	6	5	5	0	6	6	4890.9	393.08	2677.9	0	3543.1	4978.1	4823.1	0	6206	5674	4619.8	369.09	2835.7	0	3563.9	4714.3	4876.7	118.03	6064.8	5340.4	5	2	5	0	6	5	5	0	6	6	10.9	127650000	127650000	7				1129	2661;3825;9703;12426;13493;23263	True;True;True;True;True;True	2753;3980;10249;13145;14305;24837	4047;5840;14859;19127;20776;35670;35671	4388;6322;16007;20620;22440;38217;38218	4388;6322;16007;20620;22440;38218	1186	435
P52760	P52760	5	5	5	Ribonuclease UK114	Hrsp12		1	5	5	5	5	5	5	51.9	51.9	51.9	14.255	135	135	0	31.989	5955.3	0	4837.7	0	3970.3	7454.3	5523.2	0	6450.8	5551.1	5631	0	4927.7	0	4101.6	7053.8	5572.9	134.93	6325.6	5222.6	5	0	5	0	5	5	6	0	6	5	5955.3	0	4837.7	0	3970.3	7454.3	5523.2	0	6450.8	5551.1	5631	0	4927.7	0	4101.6	7053.8	5572.9	134.93	6325.6	5222.6	5	0	5	0	5	5	6	0	6	5	51.9	81742000	81742000	6				1130	126;347;2074;28420;29271	True;True;True;True;True	118;335;2150;30326;31241	151;461;3183;3184;43580;44967	165;509;3468;3469;46710;48193	165;509;3468;46710;48193	1187	86
P52825	P52825	6	6	6	Carnitine O-palmitoyltransferase 2, mitochondrial	Cpt2		1	6	6	6	6	6	6	11.2	11.2	11.2	73.98	658	658	0	25.498	7652.9	486.34	6050.6	0	5109.2	9007.4	7232.1	184.52	7720	7023.8	7235.6	456.66	6177.2	0	5270.9	8529.2	7273	424.66	7596.6	6618	6	1	6	0	6	6	6	1	6	6	7652.9	486.34	6050.6	0	5109.2	9007.4	7232.1	184.52	7720	7023.8	7235.6	456.66	6177.2	0	5270.9	8529.2	7273	424.66	7596.6	6618	6	1	6	0	6	6	6	1	6	6	11.2	79673000	79673000	6				1131	1056;3478;4161;4409;24678;27769	True;True;True;True;True;True	1062;3617;4339;4599;26319;29610	1512;5323;6423;6780;37689;42512	1652;5772;6960;7344;40392;45578	1652;5772;6960;7344;40392;45578	1188	647
P52875	P52875	1	1	1	Transmembrane protein 165	Tmem165		1	1	1	1	1	1	1	5.9	5.9	5.9	34.79	323	323	0.0032265	5.7952	1067.4	125.77	671.42	0	657.34	2929.6	1148.8	223.36	1964.1	978.02	1008.5	118.09	699.6	0	675.62	2773.6	1168.1	358.39	1903.4	926.09	1	1	1	0	1	1	1	1	1	1	1067.4	125.77	671.42	0	657.34	2929.6	1148.8	223.36	1964.1	978.02	1008.5	118.09	699.6	0	675.62	2773.6	1168.1	358.39	1903.4	926.09	1	1	1	0	1	1	1	1	1	1	5.9	0	0	1				1132	17720	True	18815	27171	29205	29205		
P52912	P52912	4	1	1	Nucleolysin TIA-1	Tia1		1	4	1	1	4	1	1	9.1	2.6	2.6	42.799	386	386	0.0032216	5.7539	2290.7	0	668.52	0	588.62	2180.4	856.05	0	900.71	1955.3	2161.6	0	765.95	0	605.87	2064.5	859.77	0	886.83	1841.2	2	0	2	0	2	2	2	0	2	2	2290.7	0	668.52	0	588.62	2180.4	856.05	0	900.71	1955.3	2161.6	0	765.95	0	605.87	2064.5	859.77	0	886.83	1841.2	2	0	2	0	2	2	2	0	2	2	9.1	13670000	13670000	2				1133	12364;23428;30422;30423	True;False;False;False	13079;25008;25009;32488;32489	19024;19025;35892;35893;35894;46806;46807;46808	20503;20504;38459;38460;38461;50151;50152;50153	20503;38460;50151;50153	1189	241
P53026	P53026	8	8	8	60S ribosomal protein L10a	Rpl10a		1	8	8	8	8	8	8	27.6	27.6	27.6	24.916	217	217	0	109.62	184370	1209.3	69243	404.87	52410	232790	67587	90.591	80159	140690	174030	1135.5	76165	3168.8	54406	220240	68413	9898.2	78560	132400	18	8	18	4	18	18	18	2	18	18	184370	1209.3	69243	404.87	52410	232790	67587	90.591	80159	140690	174030	1135.5	76165	3168.8	54406	220240	68413	9898.2	78560	132400	18	8	18	4	18	18	18	2	18	18	27.6	3958700000	3958700000	18				1134	1047;2799;2800;5490;9580;14008;15788;31912	True;True;True;True;True;True;True;True	1050;1051;2891;2892;2893;5767;10117;10118;14861;16786;34063	1488;1489;1490;1491;4264;4265;4266;8490;14677;14678;21610;21611;24296;24297;24298;24299;49103;49104	1626;1627;1628;1629;4626;4627;4628;9182;15815;15816;23321;23322;26170;26171;26172;26173;52588;52589	1626;4627;4628;9182;15815;23321;26172;52588	1190;1191	85;144
P53349	P53349	1	1	1	Mitogen-activated protein kinase kinase kinase 1	Map3k1		1	1	1	1	1	1	1	0.7	0.7	0.7	161.29	1493	1493	0.003899	4.7172	178.25	0	68.287	0	0	137.99	195.11	0	87.753	126.61	168.26	0	74.615	0	0	130.66	186.29	0	91.139	119.21	1	0	1	0	0	1	1	0	1	1	178.25	0	68.287	0	0	137.99	195.11	0	87.753	126.61	168.26	0	74.615	0	0	130.66	186.29	0	91.139	119.21	1	0	1	0	0	1	1	0	1	1	0.7	4517800	4517800	1				1135	20790	True	22155	31873	34123	34123		
P53368	P53368	1	1	1	7,8-dihydro-8-oxoguanine triphosphatase	Nudt1		1	1	1	1	1	1	1	9.6	9.6	9.6	17.908	156	156	0.0031753	5.4507	175.27	0	73.859	0	125.62	244.94	254.83	0	487.77	338.16	165.47	0	81.08	0	126.47	232.15	259.57	0	471.4	318.41	1	0	1	0	1	1	1	0	1	1	175.27	0	73.859	0	125.62	244.94	254.83	0	487.77	338.16	165.47	0	81.08	0	126.47	232.15	259.57	0	471.4	318.41	1	0	1	0	1	1	1	0	1	1	9.6	3335500	3335500	1				1136	7296	True	7666	11242	12120	12120		
P53395	P53395	2	2	2	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	Dbt		1	2	2	2	2	2	2	3.7	3.7	3.7	53.246	482	482	0.0030939	6.8113	2534.1	87.122	1477.1	0	1193	3758.2	1295.9	0	1500.8	2350.1	2394	81.804	1544.8	0	1229.1	3555.3	1319.8	70.588	1472.2	2210.5	2	1	2	0	2	2	2	0	2	2	2534.1	87.122	1477.1	0	1193	3758.2	1295.9	0	1500.8	2350.1	2394	81.804	1544.8	0	1229.1	3555.3	1319.8	70.588	1472.2	2210.5	2	1	2	0	2	2	2	0	2	2	3.7	10052000	10052000	2				1137	18565;27009	True;True	19724;28802	28418;41286	30505;44278	30505;44278		
P53569	P53569	9	9	8	CCAAT/enhancer-binding protein zeta	Cebpz		1	9	9	8	8	8	8	10.3	10.3	9.1	120.26	1052	1052	0	38.777	27359	739.37	10833	0	8485.9	32629	9070.8	14.847	10908	21238	25827	693.14	11811	136.68	8751.7	30864	9248.6	1253.7	10685	19984	10	3	8	0	7	9	6	1	6	7	27359	739.37	10833	0	8485.9	32629	9070.8	14.847	10908	21238	25827	693.14	11811	136.68	8751.7	30864	9248.6	1253.7	10685	19984	10	3	8	0	7	9	6	1	6	7	9.1	69826000	69826000	10				1138	290;1722;6413;7312;19421;21460;23198;24092;31452	True;True;True;True;True;True;True;True;True	280;1763;6738;7682;20626;22901;24768;33582	362;2589;9905;11266;29692;32961;35580;48398	392;2814;10689;12145;31851;31852;31853;35285;38125;51838	392;2814;10689;12145;31852;35285;38125;51838		
P53612	P53612	1	1	1	Geranylgeranyl transferase type-2 subunit beta	Rabggtb		1	1	1	1	1	1	1	3.2	3.2	3.2	37.803	339	339	0.00091512	7.6616	1901.2	0	1177.7	0	628.15	2105	1314	0	1586.6	1596.2	1796.3	0	1222.1	0	679.85	1992.3	1312.1	101.91	1553.9	1502.4	1	0	1	0	1	1	1	0	1	1	1901.2	0	1177.7	0	628.15	2105	1314	0	1586.6	1596.2	1796.3	0	1222.1	0	679.85	1992.3	1312.1	101.91	1553.9	1502.4	1	0	1	0	1	1	1	0	1	1	3.2	12176000	12176000	1				1139	24320	True	25944	37181	39861	39861		
